RecordID,SourceType,ParticipantID,StudySite,ApproxWordCount,Completeness,InclusionStatus,Notes
SITE1/P10/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P10,SITE1,25,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE2/P10/Questionnaire/Tsunami,Post-condition free-text response,SITE2/P10,SITE2,3,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE1/P11/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P11,SITE1,6,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE1/P12/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P12,SITE1,19,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE1/P13/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P13,SITE1,0,FIELD_PRESENT,NOT_CODED_NO_SUBSTANTIVE_CONTENT,Method=Tsunami
SITE1/P14/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P14,SITE1,55,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE1/P15/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P15,SITE1,0,FIELD_PRESENT,NOT_CODED_NO_SUBSTANTIVE_CONTENT,Method=Tsunami
SITE1/P16/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P16,SITE1,16,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE2/P11/Questionnaire/Tsunami,Post-condition free-text response,SITE2/P11,SITE2,27,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE2/P12/Questionnaire/Tsunami,Post-condition free-text response,SITE2/P12,SITE2,0,FIELD_PRESENT,NOT_CODED_NO_SUBSTANTIVE_CONTENT,Method=Tsunami
SITE1/P17/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P17,SITE1,0,FIELD_PRESENT,NOT_CODED_NO_SUBSTANTIVE_CONTENT,Method=Tsunami
SITE2/P13/Questionnaire/Tsunami,Post-condition free-text response,SITE2/P13,SITE2,0,FIELD_PRESENT,NOT_CODED_NO_SUBSTANTIVE_CONTENT,Method=Tsunami
SITE2/P14/Questionnaire/Tsunami,Post-condition free-text response,SITE2/P14,SITE2,0,FIELD_PRESENT,NOT_CODED_NO_SUBSTANTIVE_CONTENT,Method=Tsunami
SITE1/P18/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P18,SITE1,4,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE2/P15/Questionnaire/Tsunami,Post-condition free-text response,SITE2/P15,SITE2,0,FIELD_PRESENT,NOT_CODED_NO_SUBSTANTIVE_CONTENT,Method=Tsunami
SITE2/P16/Questionnaire/Tsunami,Post-condition free-text response,SITE2/P16,SITE2,12,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE2/P17/Questionnaire/Tsunami,Post-condition free-text response,SITE2/P17,SITE2,93,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE2/P18/Questionnaire/Tsunami,Post-condition free-text response,SITE2/P18,SITE2,53,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE1/P19/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P19,SITE1,15,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE1/P20/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P20,SITE1,66,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE1/P21/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P21,SITE1,0,FIELD_PRESENT,NOT_CODED_NO_SUBSTANTIVE_CONTENT,Method=Tsunami
SITE1/P22/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P22,SITE1,0,FIELD_PRESENT,NOT_CODED_NO_SUBSTANTIVE_CONTENT,Method=Tsunami
SITE1/P23/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P23,SITE1,93,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE1/P01/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P01,SITE1,9,FIELD_PRESENT,INCLUDED,Method=Tsunami
SITE1/P24/Questionnaire/Tsunami,Post-condition free-text response,SITE1/P24,SITE1,1,FIELD_PRESENT,INCLUDED,Method=Tsunami
