ParticipantUID,ParticipantID,Location,Method,MethodOrder,SourceFile,Run,Trial,Distance,HoldTime,CompletionTime,AimingRatio,AimingSpeed,LandingPos_x,LandingPos_z,AimingError,RecommendedExclude,RepeatedFailureGroup,RepeatedFailureTrialExclude,DecisionReason
SITE1_P01,P01,SITE1,map,2,P01_precision_map_4.csv,4,5,100,2.264,3.971,0.5701,44.1696,29.000,4.500,5.248,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,map,2,P01_precision_map_4.csv,4,6,200,1.890,3.459,0.5464,105.8201,-70.700,4.500,5.100,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,map,2,P01_precision_map_4.csv,4,7,50,1.681,3.388,0.4962,29.7442,83.600,9.100,9.296,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,map,2,P01_precision_map_4.csv,4,8,100,1.876,4.612,0.4068,53.3049,30.000,4.000,4.346,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,map,2,P01_precision_map_4.csv,4,9,200,2.236,3.555,0.6290,89.4454,-65.400,3.800,4.780,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,tsunami,3,P01_precision_tsunami_8.csv,8,1,50,1.920,1.920,1.0000,26.0417,82.600,0.100,0.906,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,tsunami,3,P01_precision_tsunami_8.csv,8,2,100,1.989,3.934,0.5056,50.2765,34.800,-0.100,3.102,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,tsunami,3,P01_precision_tsunami_8.csv,8,3,200,3.901,5.213,0.7483,51.2689,-72.500,-0.200,4.205,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,tsunami,3,P01_precision_tsunami_8.csv,8,4,50,1.375,2.752,0.4996,36.3636,81.300,-0.500,0.640,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,tsunami,3,P01_precision_tsunami_8.csv,8,5,100,2.301,3.287,0.7000,43.4594,29.000,0.300,2.717,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,tsunami,3,P01_precision_tsunami_8.csv,8,6,200,3.727,4.770,0.7813,53.6625,-65.500,-0.100,2.802,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,tsunami,3,P01_precision_tsunami_8.csv,8,7,50,1.648,2.808,0.5869,30.3398,81.000,-0.100,0.707,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,tsunami,3,P01_precision_tsunami_8.csv,8,8,100,1.932,2.830,0.6827,51.7598,35.700,-0.800,4.079,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P01,P01,SITE1,tsunami,3,P01_precision_tsunami_8.csv,8,9,200,3.031,4.161,0.7284,65.9848,-71.700,0.400,3.423,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,baseline,1,P02_precision_baseline_0.csv,0,1,50,3.069,3.070,0.9997,16.2920,81.500,-0.100,0.224,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,baseline,1,P02_precision_baseline_0.csv,0,2,100,2.819,6.277,0.4491,35.4736,32.800,0.000,1.100,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,baseline,1,P02_precision_baseline_0.csv,0,3,200,4.652,8.125,0.5726,42.9923,-62.700,-0.400,5.614,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,baseline,1,P02_precision_baseline_0.csv,0,4,50,3.292,6.375,0.5164,15.1883,79.500,-0.100,2.202,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,baseline,1,P02_precision_baseline_0.csv,0,5,100,3.626,5.695,0.6367,27.5786,32.600,-0.500,1.030,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,baseline,1,P02_precision_baseline_0.csv,0,6,200,4.250,6.666,0.6376,47.0588,-66.700,-1.300,2.062,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,baseline,1,P02_precision_baseline_0.csv,0,7,50,3.778,6.181,0.6112,13.2345,81.200,0.000,0.500,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,baseline,1,P02_precision_baseline_0.csv,0,8,100,2.652,5.861,0.4525,37.7074,36.200,0.300,4.510,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,baseline,1,P02_precision_baseline_0.csv,0,9,200,6.694,9.180,0.7292,29.8775,-75.300,-2.100,7.308,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,map,2,P02_precision_map_4.csv,4,1,50,6.723,6.724,0.9999,7.4372,87.200,1.600,5.728,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,map,2,P02_precision_map_4.csv,4,2,100,4.403,7.194,0.6120,22.7118,31.400,-2.400,2.419,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,map,2,P02_precision_map_4.csv,4,3,200,2.750,5.069,0.5425,72.7273,-74.700,-3.500,7.295,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,map,2,P02_precision_map_4.csv,4,4,50,2.903,5.417,0.5359,17.2236,83.400,-1.100,2.025,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,map,2,P02_precision_map_4.csv,4,5,100,2.847,4.569,0.6231,35.1247,36.100,0.000,4.400,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,map,2,P02_precision_map_4.csv,4,6,200,3.069,5.167,0.5940,65.1678,-71.800,-1.100,3.669,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,map,2,P02_precision_map_4.csv,4,7,50,2.817,5.708,0.4935,17.7494,84.800,-3.700,4.827,false,false,false,Retain: not an upper-IQR candidate.
SITE1_P02,P02,SITE1,map,2,P02_precision_map_4.csv,4,8,100,1.973,3.876,0.5090,50.6842,31.300,-2.400,2.433,false,false,false,Retain: not an upper-IQR candidate.
